city,state,population
Los Angeles,California,3980400
San Francisco,California,883305
San Diego,California,1423851
Sacramento,California,508529
Houston,Texas,2328000
Dallas,Texas,1343000
Austin,Texas,964300
San Antonio,Texas,1532200
Miami,Florida,470914
Orlando,Florida,285713
Tampa,Florida,399700
Jacksonville,Florida,903889
New York,New York,8399000
Buffalo,New York,256304
Rochester,New York,206284
Syracuse,New York,142749
Chicago,Illinois,2716000
Springfield,Illinois,116250
Peoria,Illinois,112936
Naperville,Illinois,147122
